time,actuator_pos_0,actuator_pos_1,actuator_pos_2,actuator_pos_3,actuator_pos_4,actuator_pos_5,actuator_pos_6,actuator_pos_7,actuator_pos_8,actuator_pos_9,actuator_pos_10,actuator_pos_11,actuator_pos_12,actuator_pos_13,actuator_pos_14,actuator_pos_15,actuator_pos_16,actuator_pos_17,actuator_pos_18,actuator_pos_19,actuator_pos_20,actuator_pos_21,actuator_pos_22,actuator_pos_23,actuator_pos_24,actuator_pos_25,actuator_pos_26,actuator_pos_27,actuator_pos_28,actuator_vel_0,actuator_vel_1,actuator_vel_2,actuator_vel_3,actuator_vel_4,actuator_vel_5,actuator_vel_6,actuator_vel_7,actuator_vel_8,actuator_vel_9,actuator_vel_10,actuator_vel_11,actuator_vel_12,actuator_vel_13,actuator_vel_14,actuator_vel_15,actuator_vel_16,actuator_vel_17,actuator_vel_18,actuator_vel_19,actuator_vel_20,actuator_vel_21,actuator_vel_22,actuator_vel_23,actuator_vel_24,actuator_vel_25,actuator_vel_26,actuator_vel_27,actuator_vel_28,base_xyz_quat_0,base_xyz_quat_1,base_xyz_quat_2,base_xyz_quat_3,base_xyz_quat_4,base_xyz_quat_5,base_xyz_quat_6,base_linvel_angvel_0,base_linvel_angvel_1,base_linvel_angvel_2,base_linvel_angvel_3,base_linvel_angvel_4,base_linvel_angvel_5,obj_0_xyz_quat_0,obj_0_xyz_quat_1,obj_0_xyz_quat_2,obj_0_xyz_quat_3,obj_0_xyz_quat_4,obj_0_xyz_quat_5,obj_0_xyz_quat_6,obj_0_linvel_angvel_0,obj_0_linvel_angvel_1,obj_0_linvel_angvel_2,obj_0_linvel_angvel_3,obj_0_linvel_angvel_4,obj_0_linvel_angvel_5,anchor_pos_b_0,anchor_pos_b_1,anchor_pos_b_2,anchor_ori_b_0,anchor_ori_b_1,anchor_ori_b_2,anchor_ori_b_3
0.0,-0.312,0.0,0.0,0.669,-0.363,0.0,-0.312,0.0,0.0,0.669,-0.363,0.0,0.0,0.0,0.0,0.2,0.22,0.0,0.5,0.0,0.0,-1.57,0.2,-0.22,0.0,0.5,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.755,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.115,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003963499795645475,-0.002240000059828162,0.9469199776649475,1.0,0.0,0.0,0.0
0.01,-0.3028283079684228,-0.00039519715891795255,0.0035001476541542,0.663569232926017,-0.36220123990152703,0.0007023105221748418,-0.3032393546604147,0.0006779647992261293,0.005283533960619106,0.6629859947473735,-0.3626825820697962,0.0004115729867545155,0.0036813327304925543,0.0,0.0,0.19412676368955878,0.2000849898807096,0.017791630502832483,0.4854340217190666,0.02697104481770937,0.0,-1.569956153670081,0.19696804194236087,-0.2330651842875682,0.005309491143595058,0.5117881779483426,0.017660763810908146,0.0,1.5698909911592838,0.9171692031577174,-0.03951971589179525,0.35001476541542,-0.5430767073983053,0.07987600984729347,0.07023105221748419,0.8760645339585322,0.06779647992261292,0.5283533960619106,-0.6014005252626542,0.03174179302037728,0.04115729867545155,0.3681332730492554,0.0,0.0,-0.5873236310441233,-1.9915010119290388,1.7791630502832483,-1.4565978280933394,2.697104481770937,0.0,0.004384632991902003,-0.30319580576391547,-1.3065184287568188,0.5309491143595058,1.1788177948342669,1.7660763810908144,0.0,-0.010900884071635442,0.000349753741824088,0.0006295131662560473,0.7562150505240776,0.9999958984411194,0.0005562838589093772,-0.0021912769062828906,-0.0017583954978493115,0.0349753741824088,0.06295131662560473,0.12150505240775118,0.11125692389085844,-0.4382559804343114,-0.35167958038149577,0.35,0.0,0.11401900000000001,1.0,0.0,0.0,0.0,0.0,0.0,-0.0981,0.0,0.0,0.0,-0.0044548059813678265,-0.0018231720896437764,0.948113203048706,0.9999974370002747,0.0005522495484910905,-0.00219229725189507,8.226530917454511e-05
0.02,-0.28516695363888345,-0.0010499041192345068,0.009736758733252835,0.6499815089395101,-0.3595347965125715,0.0022356979172265127,-0.2878154146350857,0.0014288993220948091,0.013886367595667169,0.6509272270799535,-0.3617160673160988,0.0012559137827488423,0.008965879188048895,0.0,0.0,0.18082268623594389,0.1723106904190224,0.03405910055036842,0.4663607239710394,0.054262281680375474,0.0,-1.5695512948147625,0.19336363361551415,-0.25271460430578807,0.00811316399374955,0.5244058673796543,0.03584669934173712,0.0,1.5698165977681884,1.7661354329539383,-0.06547069603165542,0.6236611079098635,-1.3587723986506914,0.26664433889555567,0.15333873950516705,1.542394002532897,0.07509345228686799,0.8602833635048062,-1.2058767667419994,0.09665147536974206,0.08443407959943267,0.5284546457556342,0.0,0.0,-1.33040774536149,-2.7774299461687226,1.6267470047535937,-1.9073297748027183,2.72912368626661,0.0,0.04048588553184567,-0.36044083268467286,-1.9649420018219845,0.2803672850154491,1.2617689431311692,1.8185935530828972,0.0,-0.007439339109529075,0.0009321566707347794,0.0016369865431179122,0.7581494301738358,0.9999716340843289,0.0014188126167239358,-0.006001075057287592,-0.0043249388010018095,0.058240292891069134,0.10074733768618649,0.19343796497583315,0.17272339745745036,-0.7619521252508297,-0.513271099401045,0.35,0.0,0.11429925389951008,1.0,1.4938415293664645e-19,9.530708957358042e-17,0.0,-6.735353016059284e-16,0.0,0.028025389951007604,2.9876830587329287e-17,1.9061417914716083e-14,0.0,-0.005336055066436529,-0.0011388093698769808,0.9500010013580322,0.9999809861183167,0.0013918960466980934,-0.006007375195622444,0.00015790198813192546
0.03,-0.2595381581771713,0.0050486164283535945,0.01900022340175657,0.6214702046886229,-0.31217545501178573,0.011288929722869764,-0.26783762722076243,0.0056115652707494044,0.024447769674181698,0.6352500735209439,-0.3591132437225357,0.002399133443116754,0.013353578889541806,0.0,0.0,0.16139712687056257,0.14278629805286053,0.04581383753213517,0.44473871212369176,0.07857206579550785,0.0,-1.5695764763872613,0.18927197009742186,-0.2756379968431515,0.008370791908584977,0.534448277508047,0.05258795512055551,0.0,1.5697355702244125,2.5628795461712155,0.6098520547588101,0.9263464668503734,-2.851130425088722,4.735934150078575,0.9053231805643249,1.9977787414323256,0.41826659486545953,1.0561402078514528,-1.5677153559009624,0.26028235935630806,0.11432196603679118,0.43876997014929114,0.0,0.0,-1.9425559365381324,-2.952439236616187,1.1754736981766751,-2.1622011847347613,2.430978411513237,0.0,-0.002518157249866426,-0.4091663518092279,-2.2923392537363405,0.025762791483542713,1.004241012839271,1.6741255778818387,0.0,-0.008102754377587625,0.001742275371843291,0.0025845301660145535,0.7598576948369715,0.9999132281815237,0.0013925306920974094,-0.011058312989252202,-0.007022156343142084,0.08101187011085115,0.09475436228966415,0.17082646631357065,-0.004102476952775297,-1.012282641249397,-0.5380150745136274,0.3500000000000009,-1.4062824978585318e-18,0.11445377684174213,1.0,-2.8457681134431147e-17,-1.685815104305349e-14,1.9387815129103044e-34,9.615734134863866e-14,-1.4062824978585318e-16,0.015452294223205085,-5.721413057473559e-15,-3.3906916265254136e-12,4.0087769300103645e-81,-0.006469744723290205,-0.00015726062702015042,0.9516363739967346,0.9999378323554993,0.0013186662690714002,-0.011067364364862442,-0.0003458395367488265
0.04,-0.23356057739756067,0.00782384287859009,0.028440751914621136,0.5979347530681831,-0.27659792329550237,0.018369668197207863,-0.2437314608191574,0.011702605658513568,0.03726987486804179,0.6128904206140093,-0.3494859278697042,0.004740612169781977,0.01318050150025347,0.0,0.0,0.13625472685716458,0.11353730879219028,0.05285867011744616,0.42539441343494283,0.10004817421728539,0.0,-1.5697233223473834,0.18388895492944918,-0.30000550828645395,0.005552490861777583,0.5415797827823379,0.06768854894939275,0.0,1.5695403544489201,2.5977580779610627,0.2775226450236496,0.9440528512864564,-2.3535451620439836,3.5577531716283333,0.7080738474338101,2.4106166401605034,0.6091040387764164,1.2822105193860094,-2.2359652906934575,0.9627315852831521,0.23414787266652223,-0.017307738928833638,0.0,0.0,-2.5142400013397994,-2.9248989260670255,0.7044832585310992,-1.934429868874893,2.1476108421777536,0.0,-0.014684596012214392,-0.5383015167972686,-2.4367511443302448,-0.28183010468073943,0.7131505274290877,1.5100593828837232,0.0,-0.019521577549226003,0.002597231777811326,0.003585033396830667,0.7613415549327724,0.999824162792017,0.0013498541661538812,-0.016744597026331874,-0.008333058346036355,0.08549564059680352,0.10005032308161134,0.14838600958009504,-0.003423056565065314,-1.13778659789778,-0.26060616530614167,0.3500000000000019,-2.2204460492503135e-18,0.11456840148374295,1.0,-6.020181363346867e-17,-1.1320181725386134e-14,8.760353553682182e-18,1.0124493835898345e-13,-8.141635513917817e-17,0.011462464200082133,-6.348826499807474e-15,1.1075938635334712e-12,1.7520707107365748e-15,-0.00780217070132494,0.0008945615263655782,0.9530147910118103,0.9998573660850525,0.001239474513567984,-0.01675312966108322,-0.0017438327195122838
0.05,-0.20933033091736927,0.009244659967853622,0.03506980881095454,0.5788855378801719,-0.2510138723136819,0.023923990652443737,-0.22130893859842896,0.01646610837787424,0.04870280052049626,0.5959465491185973,-0.341471360872343,0.006310965728690322,0.009472919656216675,0.0,0.0,0.1070426536823477,0.08614792984499725,0.05644422949103397,0.4093542723413688,0.11914799041277754,0.0,-1.569662180073387,0.17627552991050346,-0.3239553099375947,0.0006204230347507987,0.5473754181590518,0.08124644960096643,0.0,1.5691642969965955,2.4230246480191404,0.1420817089263532,0.6629056896333407,-1.9049215188011166,2.5584050981820505,0.5554322455235873,2.2422522220728434,0.47635027193606727,1.1432925652454466,-1.6943871495412033,0.8014566997361239,0.1570353558908345,-0.3707581844036794,0.0,0.0,-2.9212073174816893,-2.7389378947193017,0.3585559373587809,-1.6040141093574063,1.9099816195492163,0.0,0.0061142273996345215,-0.7613425018945714,-2.3949801651140734,-0.49320678270267837,0.5795635376713884,1.3557900651573684,0.0,-0.03760574523245734,0.0033582724779212592,0.004605069599190334,0.7628564148460609,0.9997029791495895,0.0011240255659955183,-0.022572895303900106,-0.009118905831407825,0.07610407001099333,0.10200362023596676,0.15148599132884974,-0.03804351185709516,-1.1664557846440666,-0.15501496984962426,0.35000000000000264,-6.365278674517565e-18,0.11465117739585681,1.0,-4.070718167523632e-17,-8.266769639361081e-15,8.673617379883379e-18,7.273811183002485e-14,-4.144832625267251e-16,0.008277591211386917,3.898926391646475e-15,6.106824172050106e-13,-1.734723475976807e-17,-0.0092863067984581,0.002047775313258171,0.9543964862823486,0.9997349381446838,0.0010170977329835296,-0.022577965632081032,-0.004383768420666456
0.060000000000000005,-0.18726814442018605,0.009715047301979978,0.039280461719085356,0.5638723355914695,-0.23407586418409074,0.028066665059977576,-0.20011056881339861,0.01994759096633495,0.058117052943371265,0.5813109257146712,-0.3348211772563793,0.007234261804779263,0.0025638290632526498,0.0,0.0,0.07563549185481172,0.06214563579924213,0.057641131687104046,0.395889302722896,0.13607120204002943,0.0,-1.5694894724741577,0.16663276851189446,-0.34639530238649063,-0.005476365588551534,0.5512735428275135,0.0934889781822903,0.0,1.5687262029335562,2.206218649718322,0.04703873341263562,0.4210652908130815,-1.5013202288702376,1.6938008129591136,0.4142674407533839,2.119836978503033,0.34814825884607126,0.9414252422875006,-1.4635623403926066,0.6650183615963675,0.09232960760889414,-0.6909090592964025,0.0,0.0,-3.140716182753598,-2.400229404575512,0.11969021960700776,-1.346496961847277,1.6923211627251888,0.0,0.01727075992293324,-0.9642761398609012,-2.2439992448895967,-0.6096788623302333,0.38981246684617643,1.2242528581323862,0.0,-0.04380940630392432,0.0040182913175081545,0.005598708365289578,0.7642637836518764,0.9995534225888472,0.0008477833111431767,-0.028262375970796946,-0.00966823452677219,0.06600188395868951,0.09936387660992438,0.14073688058154782,-0.04730229844300739,-1.1388668569783356,-0.10758031083129477,0.35000000000000314,-8.576472865229336e-18,0.11471187698251949,1.0,-3.0698443428481016e-17,-6.066639834910153e-15,9.367506770274095e-18,5.141720382795257e-14,-2.21119419071177e-16,0.006069958666266875,2.0017476493510655e-15,4.4002596089018565e-13,1.3877787807814454e-16,-0.010822305455803871,0.0032052777241915464,0.9556483626365662,0.9995650053024292,0.0008115526288747787,-0.02826344035565853,-0.008386884815990925
0.07,-0.167592228702878,0.009740073467152265,0.0423025488472053,0.5523047882936227,-0.22462628626635678,0.030960709214999847,-0.18063573410683637,0.022387804778014078,0.06601146372312566,0.5680036273124112,-0.3291220879166703,0.007833540091632892,-0.006704287695034264,0.0,0.0,0.04342472504525985,0.04238601502023351,0.05750713901651502,0.3844712547562114,0.1510337749500679,0.0,-1.5692648632581496,0.15519111444207684,-0.3665016602720831,-0.012025176515965193,0.5537899458433161,0.10460675850485653,0.0,1.5682598723020216,1.9675915717308072,0.0025026165172287104,0.30220871281199446,-1.1567547297846867,0.9449577917733966,0.2894044155022273,1.9474834706562254,0.24402138116791275,0.7894410779754402,-1.3307298402260035,0.5699089339709001,0.05992782868536302,-0.9268116758286914,0.0,0.0,-3.2210766809551874,-1.9759620779008615,-0.013399267058902875,-1.141804796668461,1.496257291003847,0.0,0.022460921600799058,-1.1441654069817613,-2.0106357885592474,-0.6548810927413657,0.25164030158026185,1.1117780322566235,0.0,-0.046633063153474985,0.004558959128878056,0.006537508862163431,0.7654823969486887,0.9993831211086736,0.0006118065863433951,-0.03356413453916143,-0.010317548566634336,0.05406678113699016,0.09388004968738532,0.12186132968122819,-0.040564088746001085,-1.061412262673127,-0.12790192602074157,0.35000000000000353,-1.0648889177862961e-17,0.11475681440766464,1.0,-2.210885463462385e-17,-4.4928777837225835e-15,9.8011876392683e-18,3.6840900700478115e-14,-2.0724163126336253e-16,0.004493742514514667,1.7179177587714374e-15,3.1475241023751393e-13,8.673617379884034e-17,-0.012332946062088013,0.0043050446547567844,0.9566987752914429,0.9993429183959961,0.0007243147701956332,-0.03356189653277397,-0.013667560182511806
0.08,-0.15068600051455733,0.009518872534428277,0.04504241574654622,0.5438685035114219,-0.22142275541125403,0.03289230998726722,-0.16361771798199415,0.023948505577953746,0.072965883513014,0.55603045634664,-0.3239213554482579,0.008358534516985707,-0.01733279756546576,0.0,0.0,0.011513955681395592,0.027189725051240413,0.056859992854442036,0.3747938505954994,0.16423630425974226,0.0,-1.5690194409113543,0.14257568377846527,-0.38370087850697193,-0.018495835188507854,0.555125456309672,0.11468784246884543,0.0,1.5678039318230657,1.6906228188320669,-0.022120093272398837,0.2739866899340922,-0.843628478220079,0.3203530855102754,0.1931600772267374,1.7018016124842221,0.15607007999396677,0.6954419789888341,-1.19731709657712,0.5200732468412425,0.05249944253528141,-1.0628509870431497,0.0,0.0,-3.1910769363864255,-1.5196289968993093,-0.06471461620729801,-0.9677404160711989,1.3202529309674353,0.0,0.02454223467954328,-1.2615430663611578,-1.7199218234888858,-0.6470658672542661,0.13355104663559303,1.008108396398891,0.0,-0.04559404789560257,0.0049616990178352445,0.007405439608603108,0.7664898402775847,0.999202832362651,0.0005033381768410465,-0.038279281800084775,-0.011320028003765295,0.040273988895718794,0.08679307464396768,0.1007443328896032,-0.018658030323978447,-0.9440081177333717,-0.1994399259250878,0.3500000000000038,-1.2702801773419501e-17,0.11479030186205631,1.0,-1.389272622310829e-17,-3.351732239439542e-15,9.887923813067152e-18,2.6722143016873666e-14,-2.0539125955565395e-16,0.0033487454391674725,1.6432256823031142e-15,2.282291088566083e-13,1.734723475976807e-17,-0.013759897090494633,0.00529898889362812,0.9575371742248535,0.9990671873092651,0.0008350586285814643,-0.03827347978949547,-0.01997898519039154
0.09,-0.13686472393428806,0.00905648054236656,0.04778720182279891,0.5384265907269064,-0.22313324693533282,0.034092423812804126,-0.14966098732068295,0.024553623750239287,0.07923542740704097,0.5458181315620605,-0.31900433074948137,0.008824208009142017,-0.02826730935354315,0.0,0.0,-0.019103017587194075,0.016443128576991664,0.05626597296450541,0.3666955965764084,0.17586180900971315,0.0,-1.568771090010193,0.12951343432558873,-0.39766332741622173,-0.024485890104641857,0.5556399932847079,0.12380100250241069,0.0,1.5673810285136653,1.3821276580269266,-0.04623919920617175,0.2744786076252683,-0.544191278451559,-0.17104915240787877,0.12001138255369084,1.395673066131119,0.0605118172285541,0.6269543894026968,-1.0212324784579465,0.4917024698776544,0.04656734921563108,-1.093451178807739,0.0,0.0,-3.0616973268589667,-1.0746596474248749,-0.059401988993662336,-0.809825401909101,1.1625504749970914,0.0,0.02483509011612169,-1.3062249452876544,-1.3962448909249796,-0.5990054916134002,0.05145369750359076,0.9113160033565262,0.0,-0.042290330940038943,0.00521783418600502,0.008199840717751967,0.767307856617795,0.9990222528150878,0.00060758513922778,-0.04228253299391649,-0.012897931004001904,0.025613516816977527,0.07944011091488601,0.08180163402103091,0.017834190101631613,-0.8013197840958579,-0.31613394232162145,0.35000000000000403,-1.4719706934821867e-17,0.11481537151069574,1.0,-4.406832511631235e-18,-2.503529019065264e-15,1.0234868508262534e-17,1.983968545005155e-14,-2.0169051614023675e-16,0.0025069648639425833,1.8971787422954133e-15,1.6964064407485556e-13,6.938893903907227e-17,-0.015063234604895115,0.00615374930202961,0.9581965804100037,0.9987401962280273,0.0012051112717017531,-0.04226972162723541,-0.027016008272767067
